Epoch: 031, Loss: 0.7600, Train Acc: 1.0000, Test Acc: 0.8749, F1 Micro: 0.8749, F1 Macro: 0.8768, AUC: 0.9773, MSE: 0.154804
Epoch: 039, Loss: 0.6314, Train Acc: 0.9667, Test Acc: 0.7866, F1 Micro: 0.7866, F1 Macro: 0.7865, AUC: 0.9588, MSE: 0.129197
Epoch: 114, Loss: 0.1670, Train Acc: 1.0000, Test Acc: 0.8777, F1 Micro: 0.8777, F1 Macro: 0.8793, AUC: 0.9681, MSE: 0.061510
Epoch: 062, Loss: 0.6811, Train Acc: 0.9167, Test Acc: 0.7956, F1 Micro: 0.7956, F1 Macro: 0.7890, AUC: 0.9582, MSE: 0.107429
Epoch: 172, Loss: 0.2445, Train Acc: 1.0000, Test Acc: 0.8980, F1 Micro: 0.8980, F1 Macro: 0.8987, AUC: 0.9776, MSE: 0.050959
Epoch: 074, Loss: 0.3066, Train Acc: 0.9833, Test Acc: 0.8763, F1 Micro: 0.8763, F1 Macro: 0.8784, AUC: 0.9690, MSE: 0.075118
Epoch: 185, Loss: 0.2722, Train Acc: 1.0000, Test Acc: 0.8843, F1 Micro: 0.8843, F1 Macro: 0.8856, AUC: 0.9653, MSE: 0.060489
Epoch: 200, Loss: 0.1283, Train Acc: 1.0000, Test Acc: 0.8975, F1 Micro: 0.8975, F1 Macro: 0.8988, AUC: 0.9798, MSE: 0.051624
Epoch: 044, Loss: 0.4857, Train Acc: 1.0000, Test Acc: 0.8069, F1 Micro: 0.8069, F1 Macro: 0.8060, AUC: 0.9724, MSE: 0.102588
Epoch: 131, Loss: 0.1604, Train Acc: 1.0000, Test Acc: 0.8905, F1 Micro: 0.8905, F1 Macro: 0.8926, AUC: 0.9793, MSE: 0.054218
Epoch: 149, Loss: 0.2764, Train Acc: 0.9500, Test Acc: 0.8296, F1 Micro: 0.8296, F1 Macro: 0.8290, AUC: 0.9663, MSE: 0.075286
Epoch: 144, Loss: 0.1396, Train Acc: 1.0000, Test Acc: 0.8890, F1 Micro: 0.8890, F1 Macro: 0.8917, AUC: 0.9784, MSE: 0.055453
Epoch: 187, Loss: 0.2874, Train Acc: 0.9000, Test Acc: 0.8314, F1 Micro: 0.8314, F1 Macro: 0.8319, AUC: 0.9716, MSE: 0.077389
Epoch: 185, Loss: 0.2406, Train Acc: 1.0000, Test Acc: 0.8744, F1 Micro: 0.8744, F1 Macro: 0.8764, AUC: 0.9721, MSE: 0.060665
Epoch: 160, Loss: 0.3500, Train Acc: 1.0000, Test Acc: 0.8716, F1 Micro: 0.8716, F1 Macro: 0.8711, AUC: 0.9671, MSE: 0.065206
Epoch: 164, Loss: 0.1750, Train Acc: 1.0000, Test Acc: 0.8966, F1 Micro: 0.8966, F1 Macro: 0.8979, AUC: 0.9741, MSE: 0.055380
Epoch: 122, Loss: 0.3495, Train Acc: 1.0000, Test Acc: 0.8650, F1 Micro: 0.8650, F1 Macro: 0.8630, AUC: 0.9584, MSE: 0.083959
Epoch: 196, Loss: 0.1991, Train Acc: 1.0000, Test Acc: 0.8093, F1 Micro: 0.8093, F1 Macro: 0.8016, AUC: 0.9777, MSE: 0.084883
Epoch: 101, Loss: 0.3786, Train Acc: 1.0000, Test Acc: 0.8225, F1 Micro: 0.8225, F1 Macro: 0.8107, AUC: 0.9707, MSE: 0.080891
Epoch: 116, Loss: 0.2467, Train Acc: 1.0000, Test Acc: 0.8215, F1 Micro: 0.8215, F1 Macro: 0.8179, AUC: 0.9649, MSE: 0.082613
Epoch: 038, Loss: 0.5220, Train Acc: 1.0000, Test Acc: 0.7734, F1 Micro: 0.7734, F1 Macro: 0.7798, AUC: 0.9568, MSE: 0.118054
Epoch: 143, Loss: 0.1958, Train Acc: 1.0000, Test Acc: 0.8598, F1 Micro: 0.8598, F1 Macro: 0.8589, AUC: 0.9747, MSE: 0.070116
Epoch: 087, Loss: 0.3438, Train Acc: 1.0000, Test Acc: 0.8900, F1 Micro: 0.8900, F1 Macro: 0.8919, AUC: 0.9735, MSE: 0.062480
Epoch: 164, Loss: 0.3180, Train Acc: 1.0000, Test Acc: 0.9079, F1 Micro: 0.9079, F1 Macro: 0.9088, AUC: 0.9724, MSE: 0.055425
Epoch: 187, Loss: 0.2683, Train Acc: 1.0000, Test Acc: 0.8706, F1 Micro: 0.8706, F1 Macro: 0.8713, AUC: 0.9679, MSE: 0.063313
Epoch: 081, Loss: 0.2953, Train Acc: 1.0000, Test Acc: 0.8772, F1 Micro: 0.8772, F1 Macro: 0.8770, AUC: 0.9727, MSE: 0.071360
Epoch: 168, Loss: 0.1787, Train Acc: 1.0000, Test Acc: 0.8730, F1 Micro: 0.8730, F1 Macro: 0.8704, AUC: 0.9756, MSE: 0.061790
Epoch: 081, Loss: 0.2876, Train Acc: 1.0000, Test Acc: 0.8093, F1 Micro: 0.8093, F1 Macro: 0.8088, AUC: 0.9615, MSE: 0.090279
Epoch: 037, Loss: 0.5892, Train Acc: 1.0000, Test Acc: 0.8569, F1 Micro: 0.8569, F1 Macro: 0.8580, AUC: 0.9751, MSE: 0.114579
