Epoch: 059, Loss: 0.0008, Train Acc: 1.0000, Test Acc: 0.6501, F1 Micro: 0.6501, F1 Macro: 0.6366, AUC: 0.8656, MSE: 0.221669
Epoch: 066, Loss: 0.2744, Train Acc: 1.0000, Test Acc: 0.7243, F1 Micro: 0.7243, F1 Macro: 0.7242, AUC: 0.8629, MSE: 0.183931
Epoch: 090, Loss: 0.2170, Train Acc: 1.0000, Test Acc: 0.6700, F1 Micro: 0.6700, F1 Macro: 0.6552, AUC: 0.8430, MSE: 0.155312
Epoch: 077, Loss: 0.2027, Train Acc: 1.0000, Test Acc: 0.6270, F1 Micro: 0.6270, F1 Macro: 0.6152, AUC: 0.8647, MSE: 0.195419
Epoch: 117, Loss: 0.1921, Train Acc: 1.0000, Test Acc: 0.7049, F1 Micro: 0.7049, F1 Macro: 0.7016, AUC: 0.8723, MSE: 0.149717
Epoch: 146, Loss: 0.1540, Train Acc: 1.0000, Test Acc: 0.6827, F1 Micro: 0.6827, F1 Macro: 0.6869, AUC: 0.8359, MSE: 0.166222
Epoch: 040, Loss: 0.7466, Train Acc: 1.0000, Test Acc: 0.6114, F1 Micro: 0.6114, F1 Macro: 0.5050, AUC: 0.8664, MSE: 0.206296
Epoch: 051, Loss: 0.0105, Train Acc: 1.0000, Test Acc: 0.6605, F1 Micro: 0.6605, F1 Macro: 0.6613, AUC: 0.8940, MSE: 0.169992
Epoch: 030, Loss: 0.4209, Train Acc: 0.8167, Test Acc: 0.7526, F1 Micro: 0.7526, F1 Macro: 0.7243, AUC: 0.9071, MSE: 0.121666
Epoch: 034, Loss: 0.2662, Train Acc: 0.9667, Test Acc: 0.7427, F1 Micro: 0.7427, F1 Macro: 0.7325, AUC: 0.8745, MSE: 0.136908
Epoch: 087, Loss: 0.2184, Train Acc: 1.0000, Test Acc: 0.7724, F1 Micro: 0.7724, F1 Macro: 0.7684, AUC: 0.9102, MSE: 0.120034
Epoch: 023, Loss: 0.4464, Train Acc: 0.9333, Test Acc: 0.7082, F1 Micro: 0.7082, F1 Macro: 0.6968, AUC: 0.8062, MSE: 0.198699
Epoch: 037, Loss: 0.3056, Train Acc: 0.9833, Test Acc: 0.6988, F1 Micro: 0.6988, F1 Macro: 0.6958, AUC: 0.8631, MSE: 0.150809
Epoch: 078, Loss: 0.2258, Train Acc: 1.0000, Test Acc: 0.6582, F1 Micro: 0.6582, F1 Macro: 0.6295, AUC: 0.8561, MSE: 0.175412
Epoch: 081, Loss: 0.3761, Train Acc: 1.0000, Test Acc: 0.7644, F1 Micro: 0.7644, F1 Macro: 0.7689, AUC: 0.9124, MSE: 0.133345
Epoch: 079, Loss: 0.0064, Train Acc: 1.0000, Test Acc: 0.6771, F1 Micro: 0.6771, F1 Macro: 0.6748, AUC: 0.8311, MSE: 0.194817
Epoch: 050, Loss: 0.6040, Train Acc: 0.6667, Test Acc: 0.5817, F1 Micro: 0.5817, F1 Macro: 0.4959, AUC: 0.8046, MSE: 0.177080
Epoch: 081, Loss: 0.0230, Train Acc: 1.0000, Test Acc: 0.6180, F1 Micro: 0.6180, F1 Macro: 0.6122, AUC: 0.7989, MSE: 0.216351
Epoch: 075, Loss: 0.4207, Train Acc: 0.9333, Test Acc: 0.7295, F1 Micro: 0.7295, F1 Macro: 0.7365, AUC: 0.8118, MSE: 0.172694
