Epoch: 194, Loss: 0.4376, Train Acc: 0.8125, Test Acc: 0.8373, F1 Micro: 0.8373, F1 Macro: 0.8284, AUC: 0.9491, MSE: 0.064406
Epoch: 184, Loss: 0.3059, Train Acc: 0.8250, Test Acc: 0.8134, F1 Micro: 0.8134, F1 Macro: 0.8003, AUC: 0.9399, MSE: 0.071451
Epoch: 115, Loss: 0.4038, Train Acc: 0.8625, Test Acc: 0.8651, F1 Micro: 0.8651, F1 Macro: 0.8571, AUC: 0.9646, MSE: 0.053361
Epoch: 132, Loss: 0.3296, Train Acc: 0.8375, Test Acc: 0.8127, F1 Micro: 0.8127, F1 Macro: 0.8078, AUC: 0.9410, MSE: 0.073316
Epoch: 116, Loss: 0.5561, Train Acc: 0.7250, Test Acc: 0.7708, F1 Micro: 0.7708, F1 Macro: 0.7623, AUC: 0.9264, MSE: 0.084180
Epoch: 107, Loss: 0.5424, Train Acc: 0.8000, Test Acc: 0.8313, F1 Micro: 0.8313, F1 Macro: 0.8255, AUC: 0.9435, MSE: 0.067336
Epoch: 096, Loss: 0.3978, Train Acc: 0.8500, Test Acc: 0.8201, F1 Micro: 0.8201, F1 Macro: 0.8120, AUC: 0.9502, MSE: 0.067821
Epoch: 089, Loss: 0.4710, Train Acc: 0.8000, Test Acc: 0.8475, F1 Micro: 0.8475, F1 Macro: 0.8371, AUC: 0.9613, MSE: 0.057548
Epoch: 068, Loss: 0.4823, Train Acc: 0.8625, Test Acc: 0.8873, F1 Micro: 0.8873, F1 Macro: 0.8798, AUC: 0.9661, MSE: 0.047846
Epoch: 070, Loss: 0.5841, Train Acc: 0.7750, Test Acc: 0.7891, F1 Micro: 0.7891, F1 Macro: 0.7808, AUC: 0.9326, MSE: 0.078027
Epoch: 048, Loss: 0.5865, Train Acc: 0.7375, Test Acc: 0.8176, F1 Micro: 0.8176, F1 Macro: 0.8104, AUC: 0.9528, MSE: 0.071863
