Epoch: 124, Loss: 0.4479, Train Acc: 1.0000, Test Acc: 0.7968, F1 Micro: 0.7968, F1 Macro: 0.7886, AUC: 0.9434, MSE: 0.075224
Epoch: 117, Loss: 0.5034, Train Acc: 1.0000, Test Acc: 0.8271, F1 Micro: 0.8271, F1 Macro: 0.8206, AUC: 0.9469, MSE: 0.067638
Epoch: 088, Loss: 0.6728, Train Acc: 1.0000, Test Acc: 0.9018, F1 Micro: 0.9018, F1 Macro: 0.8949, AUC: 0.9729, MSE: 0.048976
Epoch: 131, Loss: 0.4435, Train Acc: 1.0000, Test Acc: 0.8222, F1 Micro: 0.8222, F1 Macro: 0.8119, AUC: 0.9504, MSE: 0.065690
Epoch: 083, Loss: 0.5437, Train Acc: 1.0000, Test Acc: 0.7415, F1 Micro: 0.7415, F1 Macro: 0.7361, AUC: 0.9181, MSE: 0.091029
Epoch: 004, Loss: 1.3278, Train Acc: 0.5000, Test Acc: 0.5563, F1 Micro: 0.5563, F1 Macro: 0.3561, AUC: 0.8833, MSE: 0.179960
Epoch: 143, Loss: 0.4749, Train Acc: 1.0000, Test Acc: 0.7535, F1 Micro: 0.7535, F1 Macro: 0.7471, AUC: 0.9205, MSE: 0.090267
Epoch: 131, Loss: 0.5166, Train Acc: 1.0000, Test Acc: 0.8032, F1 Micro: 0.8032, F1 Macro: 0.7917, AUC: 0.9285, MSE: 0.080539
Epoch: 083, Loss: 0.6002, Train Acc: 1.0000, Test Acc: 0.7085, F1 Micro: 0.7085, F1 Macro: 0.7043, AUC: 0.9024, MSE: 0.101488
Epoch: 037, Loss: 0.6073, Train Acc: 0.9875, Test Acc: 0.8349, F1 Micro: 0.8349, F1 Macro: 0.8256, AUC: 0.9530, MSE: 0.084756
Epoch: 123, Loss: 0.4545, Train Acc: 1.0000, Test Acc: 0.8148, F1 Micro: 0.8148, F1 Macro: 0.8038, AUC: 0.9468, MSE: 0.071356
Epoch: 144, Loss: 0.4738, Train Acc: 1.0000, Test Acc: 0.8018, F1 Micro: 0.8018, F1 Macro: 0.7952, AUC: 0.9376, MSE: 0.075012
