Epoch: 054, Loss: 0.0573, Train Acc: 1.0000, Test Acc: 0.2453, F1 Micro: 0.2453, F1 Macro: 0.1684, AUC: 0.5288, MSE: 0.163109
Epoch: 012, Loss: 1.0654, Train Acc: 0.7714, Test Acc: 0.2017, F1 Micro: 0.2017, F1 Macro: 0.1516, AUC: 0.5374, MSE: 0.124513
Epoch: 014, Loss: 0.9600, Train Acc: 0.7786, Test Acc: 0.2365, F1 Micro: 0.2365, F1 Macro: 0.1593, AUC: 0.5341, MSE: 0.124477
Epoch: 007, Loss: 1.4280, Train Acc: 0.5929, Test Acc: 0.3534, F1 Micro: 0.3534, F1 Macro: 0.1781, AUC: 0.5635, MSE: 0.116351
Epoch: 007, Loss: 1.4700, Train Acc: 0.6714, Test Acc: 0.3339, F1 Micro: 0.3339, F1 Macro: 0.1803, AUC: 0.5585, MSE: 0.118107
Epoch: 012, Loss: 1.1180, Train Acc: 0.7643, Test Acc: 0.2407, F1 Micro: 0.2407, F1 Macro: 0.1685, AUC: 0.5476, MSE: 0.122759
Epoch: 048, Loss: 0.1048, Train Acc: 1.0000, Test Acc: 0.2843, F1 Micro: 0.2843, F1 Macro: 0.1753, AUC: 0.5212, MSE: 0.156088
Epoch: 005, Loss: 1.5681, Train Acc: 0.5500, Test Acc: 0.3809, F1 Micro: 0.3809, F1 Macro: 0.1685, AUC: 0.5571, MSE: 0.116558
Epoch: 026, Loss: 0.4834, Train Acc: 0.8786, Test Acc: 0.2676, F1 Micro: 0.2676, F1 Macro: 0.1762, AUC: 0.5443, MSE: 0.135917
Epoch: 005, Loss: 1.5405, Train Acc: 0.5929, Test Acc: 0.3565, F1 Micro: 0.3565, F1 Macro: 0.1641, AUC: 0.5635, MSE: 0.117382
Epoch: 028, Loss: 0.4124, Train Acc: 0.9286, Test Acc: 0.2584, F1 Micro: 0.2584, F1 Macro: 0.1776, AUC: 0.5459, MSE: 0.137261
Epoch: 002, Loss: 1.8547, Train Acc: 0.3286, Test Acc: 0.3111, F1 Micro: 0.3111, F1 Macro: 0.1414, AUC: 0.5299, MSE: 0.119824
Epoch: 035, Loss: 0.2568, Train Acc: 0.9643, Test Acc: 0.2011, F1 Micro: 0.2011, F1 Macro: 0.1532, AUC: 0.5189, MSE: 0.155907
Epoch: 031, Loss: 0.3185, Train Acc: 0.9429, Test Acc: 0.2615, F1 Micro: 0.2615, F1 Macro: 0.1699, AUC: 0.5357, MSE: 0.144904
Epoch: 003, Loss: 1.7396, Train Acc: 0.4714, Test Acc: 0.3057, F1 Micro: 0.3057, F1 Macro: 0.1435, AUC: 0.5419, MSE: 0.119440
Epoch: 037, Loss: 0.2311, Train Acc: 0.9643, Test Acc: 0.2155, F1 Micro: 0.2155, F1 Macro: 0.1685, AUC: 0.5366, MSE: 0.154383
Epoch: 011, Loss: 1.1381, Train Acc: 0.7143, Test Acc: 0.2624, F1 Micro: 0.2624, F1 Macro: 0.1665, AUC: 0.5518, MSE: 0.120770
Epoch: 007, Loss: 1.4753, Train Acc: 0.6429, Test Acc: 0.2692, F1 Micro: 0.2692, F1 Macro: 0.1492, AUC: 0.5497, MSE: 0.119020
Epoch: 028, Loss: 0.3871, Train Acc: 0.9429, Test Acc: 0.2231, F1 Micro: 0.2231, F1 Macro: 0.1587, AUC: 0.5420, MSE: 0.142787
Epoch: 010, Loss: 1.1976, Train Acc: 0.7071, Test Acc: 0.2383, F1 Micro: 0.2383, F1 Macro: 0.1581, AUC: 0.5371, MSE: 0.120742
Epoch: 026, Loss: 0.4308, Train Acc: 0.9286, Test Acc: 0.2223, F1 Micro: 0.2223, F1 Macro: 0.1578, AUC: 0.5346, MSE: 0.139582
Epoch: 027, Loss: 0.4283, Train Acc: 0.9286, Test Acc: 0.2355, F1 Micro: 0.2355, F1 Macro: 0.1654, AUC: 0.5284, MSE: 0.139087
Epoch: 041, Loss: 0.1311, Train Acc: 0.9857, Test Acc: 0.2924, F1 Micro: 0.2924, F1 Macro: 0.1808, AUC: 0.5356, MSE: 0.147739
Epoch: 001, Loss: 1.9599, Train Acc: 0.1357, Test Acc: 0.2218, F1 Micro: 0.2218, F1 Macro: 0.1247, AUC: 0.5107, MSE: 0.120374
Epoch: 005, Loss: 1.5824, Train Acc: 0.5500, Test Acc: 0.3486, F1 Micro: 0.3486, F1 Macro: 0.1587, AUC: 0.5596, MSE: 0.117972
