Epoch: 036, Loss: 1.8154, Train Acc: 0.3929, Test Acc: 0.3770, F1 Micro: 0.3770, F1 Macro: 0.1618, AUC: 0.6415, MSE: 0.119021
Epoch: 018, Loss: 1.8589, Train Acc: 0.4429, Test Acc: 0.3696, F1 Micro: 0.3696, F1 Macro: 0.1733, AUC: 0.6544, MSE: 0.120443
Epoch: 032, Loss: 1.7204, Train Acc: 0.5143, Test Acc: 0.3495, F1 Micro: 0.3495, F1 Macro: 0.1788, AUC: 0.6442, MSE: 0.118299
Epoch: 083, Loss: 1.6244, Train Acc: 0.5857, Test Acc: 0.3310, F1 Micro: 0.3310, F1 Macro: 0.1847, AUC: 0.6599, MSE: 0.114815
Epoch: 052, Loss: 1.5926, Train Acc: 0.6357, Test Acc: 0.3588, F1 Micro: 0.3588, F1 Macro: 0.1892, AUC: 0.6430, MSE: 0.115460
Epoch: 027, Loss: 1.8108, Train Acc: 0.4214, Test Acc: 0.3926, F1 Micro: 0.3926, F1 Macro: 0.1947, AUC: 0.6622, MSE: 0.115739
Epoch: 049, Loss: 1.5932, Train Acc: 0.5500, Test Acc: 0.3193, F1 Micro: 0.3193, F1 Macro: 0.2116, AUC: 0.6268, MSE: 0.119553
Epoch: 033, Loss: 1.7075, Train Acc: 0.4857, Test Acc: 0.3827, F1 Micro: 0.3827, F1 Macro: 0.2369, AUC: 0.6683, MSE: 0.115858
Epoch: 179, Loss: 1.1926, Train Acc: 0.8000, Test Acc: 0.3048, F1 Micro: 0.3048, F1 Macro: 0.2214, AUC: 0.6661, MSE: 0.137050
Epoch: 149, Loss: 1.3495, Train Acc: 0.8286, Test Acc: 0.3457, F1 Micro: 0.3457, F1 Macro: 0.2428, AUC: 0.6560, MSE: 0.125197
Epoch: 079, Loss: 1.6620, Train Acc: 0.4643, Test Acc: 0.3709, F1 Micro: 0.3709, F1 Macro: 0.1838, AUC: 0.6277, MSE: 0.119539
Epoch: 044, Loss: 1.7044, Train Acc: 0.5429, Test Acc: 0.3673, F1 Micro: 0.3673, F1 Macro: 0.2151, AUC: 0.6842, MSE: 0.115635
Epoch: 134, Loss: 1.2561, Train Acc: 0.7929, Test Acc: 0.3118, F1 Micro: 0.3118, F1 Macro: 0.2330, AUC: 0.6526, MSE: 0.133128
Epoch: 027, Loss: 1.7187, Train Acc: 0.5286, Test Acc: 0.3118, F1 Micro: 0.3118, F1 Macro: 0.1910, AUC: 0.6378, MSE: 0.117563
Epoch: 198, Loss: 1.0708, Train Acc: 0.8643, Test Acc: 0.3461, F1 Micro: 0.3461, F1 Macro: 0.2468, AUC: 0.6491, MSE: 0.133630
Epoch: 031, Loss: 1.7592, Train Acc: 0.4786, Test Acc: 0.3565, F1 Micro: 0.3565, F1 Macro: 0.1927, AUC: 0.6450, MSE: 0.116546
Epoch: 124, Loss: 1.3293, Train Acc: 0.8643, Test Acc: 0.3473, F1 Micro: 0.3473, F1 Macro: 0.2410, AUC: 0.6276, MSE: 0.126962
Epoch: 020, Loss: 1.8347, Train Acc: 0.4571, Test Acc: 0.3876, F1 Micro: 0.3876, F1 Macro: 0.1847, AUC: 0.6505, MSE: 0.119206
Epoch: 139, Loss: 1.2087, Train Acc: 0.8643, Test Acc: 0.3416, F1 Micro: 0.3416, F1 Macro: 0.2303, AUC: 0.6007, MSE: 0.126721
Epoch: 025, Loss: 1.8292, Train Acc: 0.4429, Test Acc: 0.3928, F1 Micro: 0.3928, F1 Macro: 0.1877, AUC: 0.6155, MSE: 0.117368
Epoch: 188, Loss: 1.3959, Train Acc: 0.7000, Test Acc: 0.3109, F1 Micro: 0.3109, F1 Macro: 0.2235, AUC: 0.6515, MSE: 0.131406
Epoch: 050, Loss: 1.6111, Train Acc: 0.4714, Test Acc: 0.3042, F1 Micro: 0.3042, F1 Macro: 0.1480, AUC: 0.6287, MSE: 0.118153
Epoch: 029, Loss: 1.8322, Train Acc: 0.3857, Test Acc: 0.4025, F1 Micro: 0.4025, F1 Macro: 0.1910, AUC: 0.6380, MSE: 0.118594
Epoch: 016, Loss: 1.8841, Train Acc: 0.4786, Test Acc: 0.3829, F1 Micro: 0.3829, F1 Macro: 0.1718, AUC: 0.6190, MSE: 0.120915
Epoch: 033, Loss: 1.7794, Train Acc: 0.4429, Test Acc: 0.3495, F1 Micro: 0.3495, F1 Macro: 0.1565, AUC: 0.6617, MSE: 0.120101
