Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8604, F1 Micro: 0.8604, F1 Macro: 0.8601, AUC: 0.9495
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8604, F1 Micro: 0.8604, F1 Macro: 0.8601, AUC: 0.9495
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8604, F1 Micro: 0.8604, F1 Macro: 0.8601, AUC: 0.9495
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8607, F1 Micro: 0.8607, F1 Macro: 0.8604, AUC: 0.9495
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8607, F1 Micro: 0.8607, F1 Macro: 0.8604, AUC: 0.9495
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8607, F1 Micro: 0.8607, F1 Macro: 0.8604, AUC: 0.9495
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8607, F1 Micro: 0.8607, F1 Macro: 0.8604, AUC: 0.9495
Epoch: 099, Loss: 0.0143, Train Acc: 1.0000, Test Acc: 0.8654, F1 Micro: 0.8654, F1 Macro: 0.8651, AUC: 0.9499
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8604, F1 Micro: 0.8604, F1 Macro: 0.8601, AUC: 0.9495
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8607, F1 Micro: 0.8607, F1 Macro: 0.8604, AUC: 0.9495
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8604, F1 Micro: 0.8604, F1 Macro: 0.8601, AUC: 0.9495
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8600, F1 Micro: 0.8600, F1 Macro: 0.8597, AUC: 0.9495
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8604, F1 Micro: 0.8604, F1 Macro: 0.8601, AUC: 0.9495
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8600, F1 Micro: 0.8600, F1 Macro: 0.8597, AUC: 0.9495
Epoch: 099, Loss: 0.0143, Train Acc: 1.0000, Test Acc: 0.8654, F1 Micro: 0.8654, F1 Macro: 0.8651, AUC: 0.9499
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8600, F1 Micro: 0.8600, F1 Macro: 0.8597, AUC: 0.9495
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8600, F1 Micro: 0.8600, F1 Macro: 0.8597, AUC: 0.9495
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8604, F1 Micro: 0.8604, F1 Macro: 0.8601, AUC: 0.9495
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8607, F1 Micro: 0.8607, F1 Macro: 0.8604, AUC: 0.9495
Epoch: 099, Loss: 0.0146, Train Acc: 1.0000, Test Acc: 0.8604, F1 Micro: 0.8604, F1 Macro: 0.8601, AUC: 0.9495
