Epoch: 044, Loss: 2.2202, Train Acc: 0.1450, Test Acc: 0.0626, F1 Micro: 0.0626, F1 Macro: 0.0336, AUC: 0.5281, MSE: 0.090801
Epoch: 039, Loss: 2.2108, Train Acc: 0.1450, Test Acc: 0.0554, F1 Micro: 0.0554, F1 Macro: 0.0208, AUC: 0.5221, MSE: 0.090715
Epoch: 020, Loss: 2.2112, Train Acc: 0.1650, Test Acc: 0.1000, F1 Micro: 0.1000, F1 Macro: 0.0402, AUC: 0.5481, MSE: 0.087787
Epoch: 003, Loss: 2.3037, Train Acc: 0.1150, Test Acc: 0.6227, F1 Micro: 0.6227, F1 Macro: 0.0847, AUC: 0.5318, MSE: 0.087815
Epoch: 001, Loss: 2.3280, Train Acc: 0.1000, Test Acc: 0.1037, F1 Micro: 0.1037, F1 Macro: 0.0188, AUC: 0.5303, MSE: 0.092424
Epoch: 004, Loss: 2.3011, Train Acc: 0.1000, Test Acc: 0.1034, F1 Micro: 0.1034, F1 Macro: 0.0188, AUC: 0.5291, MSE: 0.093476
Epoch: 059, Loss: 2.2550, Train Acc: 0.1250, Test Acc: 0.1308, F1 Micro: 0.1308, F1 Macro: 0.0353, AUC: 0.5327, MSE: 0.087353
Epoch: 001, Loss: 2.3176, Train Acc: 0.1000, Test Acc: 0.6819, F1 Micro: 0.6819, F1 Macro: 0.0811, AUC: 0.5185, MSE: 0.087030
Epoch: 032, Loss: 2.1702, Train Acc: 0.1550, Test Acc: 0.1440, F1 Micro: 0.1440, F1 Macro: 0.0441, AUC: 0.5596, MSE: 0.088322
Epoch: 033, Loss: 2.1741, Train Acc: 0.1450, Test Acc: 0.1133, F1 Micro: 0.1133, F1 Macro: 0.0379, AUC: 0.5468, MSE: 0.090541
Epoch: 078, Loss: 2.1732, Train Acc: 0.1800, Test Acc: 0.0597, F1 Micro: 0.0597, F1 Macro: 0.0389, AUC: 0.5621, MSE: 0.091520
Epoch: 101, Loss: 2.1378, Train Acc: 0.1850, Test Acc: 0.0433, F1 Micro: 0.0433, F1 Macro: 0.0293, AUC: 0.5336, MSE: 0.095033
Epoch: 018, Loss: 2.2746, Train Acc: 0.1250, Test Acc: 0.0715, F1 Micro: 0.0715, F1 Macro: 0.0325, AUC: 0.5726, MSE: 0.090570
Epoch: 014, Loss: 2.2561, Train Acc: 0.1450, Test Acc: 0.5709, F1 Micro: 0.5709, F1 Macro: 0.0974, AUC: 0.5385, MSE: 0.089343
Epoch: 116, Loss: 2.1372, Train Acc: 0.1650, Test Acc: 0.5713, F1 Micro: 0.5713, F1 Macro: 0.1027, AUC: 0.5211, MSE: 0.096163
Epoch: 141, Loss: 2.0896, Train Acc: 0.2000, Test Acc: 0.0478, F1 Micro: 0.0478, F1 Macro: 0.0274, AUC: 0.5285, MSE: 0.093462
Epoch: 004, Loss: 2.3065, Train Acc: 0.1050, Test Acc: 0.6805, F1 Micro: 0.6805, F1 Macro: 0.0831, AUC: 0.5263, MSE: 0.086990
Epoch: 013, Loss: 2.2621, Train Acc: 0.1150, Test Acc: 0.1183, F1 Micro: 0.1183, F1 Macro: 0.0444, AUC: 0.5313, MSE: 0.086829
Epoch: 007, Loss: 2.3236, Train Acc: 0.1050, Test Acc: 0.6769, F1 Micro: 0.6769, F1 Macro: 0.0813, AUC: 0.5303, MSE: 0.085386
Epoch: 125, Loss: 2.2617, Train Acc: 0.1300, Test Acc: 0.0395, F1 Micro: 0.0395, F1 Macro: 0.0148, AUC: 0.5420, MSE: 0.090413
Epoch: 083, Loss: 2.2452, Train Acc: 0.1550, Test Acc: 0.0503, F1 Micro: 0.0503, F1 Macro: 0.0367, AUC: 0.5230, MSE: 0.091884
