Epoch: 011, Loss: 3.7726, Train Acc: 0.1400, Test Acc: 0.5170, F1 Micro: 0.5170, F1 Macro: 0.0955, AUC: 0.5655, MSE: 0.073705
Epoch: 007, Loss: 8.9777, Train Acc: 0.1500, Test Acc: 0.5994, F1 Micro: 0.5994, F1 Macro: 0.1081, AUC: 0.5886, MSE: 0.067446
Epoch: 002, Loss: 15.7449, Train Acc: 0.0750, Test Acc: 0.5861, F1 Micro: 0.5861, F1 Macro: 0.1072, AUC: 0.5814, MSE: 0.073325
Epoch: 002, Loss: 16.1958, Train Acc: 0.1300, Test Acc: 0.5363, F1 Micro: 0.5363, F1 Macro: 0.0819, AUC: 0.5296, MSE: 0.076492
Epoch: 002, Loss: 10.6574, Train Acc: 0.0950, Test Acc: 0.6074, F1 Micro: 0.6074, F1 Macro: 0.1059, AUC: 0.5465, MSE: 0.069300
Epoch: 009, Loss: 4.9978, Train Acc: 0.1400, Test Acc: 0.5266, F1 Micro: 0.5266, F1 Macro: 0.1009, AUC: 0.5744, MSE: 0.077623
Epoch: 006, Loss: 6.1856, Train Acc: 0.1600, Test Acc: 0.5109, F1 Micro: 0.5109, F1 Macro: 0.0851, AUC: 0.5755, MSE: 0.083130
Epoch: 007, Loss: 5.4320, Train Acc: 0.1650, Test Acc: 0.5742, F1 Micro: 0.5742, F1 Macro: 0.0953, AUC: 0.5932, MSE: 0.072122
Epoch: 006, Loss: 8.2417, Train Acc: 0.1600, Test Acc: 0.5631, F1 Micro: 0.5631, F1 Macro: 0.1043, AUC: 0.5921, MSE: 0.077585
Epoch: 001, Loss: 15.1907, Train Acc: 0.0950, Test Acc: 0.5501, F1 Micro: 0.5501, F1 Macro: 0.0799, AUC: 0.5713, MSE: 0.075051
Epoch: 010, Loss: 4.3592, Train Acc: 0.1250, Test Acc: 0.5790, F1 Micro: 0.5790, F1 Macro: 0.1026, AUC: 0.5755, MSE: 0.069088
Epoch: 001, Loss: 14.8525, Train Acc: 0.0800, Test Acc: 0.5655, F1 Micro: 0.5655, F1 Macro: 0.0932, AUC: 0.5343, MSE: 0.074306
Epoch: 035, Loss: 2.2884, Train Acc: 0.1750, Test Acc: 0.4927, F1 Micro: 0.4927, F1 Macro: 0.1098, AUC: 0.5842, MSE: 0.082914
Epoch: 007, Loss: 10.9038, Train Acc: 0.1250, Test Acc: 0.5469, F1 Micro: 0.5469, F1 Macro: 0.1107, AUC: 0.5793, MSE: 0.074007
Epoch: 007, Loss: 13.1448, Train Acc: 0.1100, Test Acc: 0.6480, F1 Micro: 0.6480, F1 Macro: 0.0871, AUC: 0.5434, MSE: 0.064626
Epoch: 001, Loss: 18.8386, Train Acc: 0.1200, Test Acc: 0.5155, F1 Micro: 0.5155, F1 Macro: 0.0830, AUC: 0.5791, MSE: 0.085874
Epoch: 001, Loss: 10.5919, Train Acc: 0.0900, Test Acc: 0.5297, F1 Micro: 0.5297, F1 Macro: 0.0836, AUC: 0.5641, MSE: 0.082939
Epoch: 002, Loss: 14.3845, Train Acc: 0.0950, Test Acc: 0.6231, F1 Micro: 0.6231, F1 Macro: 0.0853, AUC: 0.5695, MSE: 0.068728
Epoch: 004, Loss: 7.7807, Train Acc: 0.1550, Test Acc: 0.5963, F1 Micro: 0.5963, F1 Macro: 0.0977, AUC: 0.5899, MSE: 0.068389
Epoch: 014, Loss: 3.4451, Train Acc: 0.1500, Test Acc: 0.5244, F1 Micro: 0.5244, F1 Macro: 0.0964, AUC: 0.5845, MSE: 0.083038
