Epoch: 098, Loss: 2.2869, Train Acc: 0.1100, Test Acc: 0.0934, F1 Micro: 0.0934, F1 Macro: 0.0267, AUC: 0.5549, MSE: 0.089757
Epoch: 025, Loss: 2.2994, Train Acc: 0.1150, Test Acc: 0.0925, F1 Micro: 0.0925, F1 Macro: 0.0218, AUC: 0.5334, MSE: 0.090241
Epoch: 019, Loss: 2.2886, Train Acc: 0.1100, Test Acc: 0.1034, F1 Micro: 0.1034, F1 Macro: 0.0204, AUC: 0.5467, MSE: 0.090228
Epoch: 001, Loss: 2.3012, Train Acc: 0.0650, Test Acc: 0.1349, F1 Micro: 0.1349, F1 Macro: 0.0424, AUC: 0.5408, MSE: 0.090154
Epoch: 140, Loss: 2.2842, Train Acc: 0.1200, Test Acc: 0.1619, F1 Micro: 0.1619, F1 Macro: 0.0377, AUC: 0.5656, MSE: 0.090121
Epoch: 028, Loss: 2.3000, Train Acc: 0.1150, Test Acc: 0.0913, F1 Micro: 0.0913, F1 Macro: 0.0216, AUC: 0.5459, MSE: 0.090608
Epoch: 048, Loss: 2.2837, Train Acc: 0.1250, Test Acc: 0.1336, F1 Micro: 0.1336, F1 Macro: 0.0398, AUC: 0.5468, MSE: 0.090025
Epoch: 092, Loss: 2.3033, Train Acc: 0.1000, Test Acc: 0.0695, F1 Micro: 0.0695, F1 Macro: 0.0276, AUC: 0.5595, MSE: 0.089714
Epoch: 053, Loss: 2.2957, Train Acc: 0.1150, Test Acc: 0.1415, F1 Micro: 0.1415, F1 Macro: 0.0438, AUC: 0.5455, MSE: 0.090079
Epoch: 003, Loss: 2.3028, Train Acc: 0.0550, Test Acc: 0.1766, F1 Micro: 0.1766, F1 Macro: 0.0465, AUC: 0.4956, MSE: 0.090093
Epoch: 140, Loss: 2.2921, Train Acc: 0.1200, Test Acc: 0.0919, F1 Micro: 0.0919, F1 Macro: 0.0291, AUC: 0.5705, MSE: 0.090648
Epoch: 069, Loss: 2.2922, Train Acc: 0.1200, Test Acc: 0.0949, F1 Micro: 0.0949, F1 Macro: 0.0242, AUC: 0.5619, MSE: 0.090257
Epoch: 022, Loss: 2.2996, Train Acc: 0.1150, Test Acc: 0.0953, F1 Micro: 0.0953, F1 Macro: 0.0250, AUC: 0.5486, MSE: 0.089812
Epoch: 011, Loss: 2.2898, Train Acc: 0.1250, Test Acc: 0.0925, F1 Micro: 0.0925, F1 Macro: 0.0274, AUC: 0.5533, MSE: 0.090069
Epoch: 062, Loss: 2.2975, Train Acc: 0.1050, Test Acc: 0.1034, F1 Micro: 0.1034, F1 Macro: 0.0208, AUC: 0.5521, MSE: 0.090319
Epoch: 082, Loss: 2.2925, Train Acc: 0.1100, Test Acc: 0.0949, F1 Micro: 0.0949, F1 Macro: 0.0240, AUC: 0.5699, MSE: 0.090375
Epoch: 006, Loss: 2.3010, Train Acc: 0.1100, Test Acc: 0.0922, F1 Micro: 0.0922, F1 Macro: 0.0233, AUC: 0.5381, MSE: 0.090032
Epoch: 005, Loss: 2.3040, Train Acc: 0.1050, Test Acc: 0.1859, F1 Micro: 0.1859, F1 Macro: 0.0516, AUC: 0.4798, MSE: 0.090145
Epoch: 015, Loss: 2.3010, Train Acc: 0.1000, Test Acc: 0.0959, F1 Micro: 0.0959, F1 Macro: 0.0300, AUC: 0.5466, MSE: 0.090000
Epoch: 008, Loss: 2.3033, Train Acc: 0.0950, Test Acc: 0.0829, F1 Micro: 0.0829, F1 Macro: 0.0330, AUC: 0.5384, MSE: 0.090264
Epoch: 101, Loss: 2.2844, Train Acc: 0.1000, Test Acc: 0.0917, F1 Micro: 0.0917, F1 Macro: 0.0241, AUC: 0.5464, MSE: 0.089959
Epoch: 022, Loss: 2.2945, Train Acc: 0.1100, Test Acc: 0.0928, F1 Micro: 0.0928, F1 Macro: 0.0264, AUC: 0.5500, MSE: 0.090028
Epoch: 008, Loss: 2.3014, Train Acc: 0.1200, Test Acc: 0.0912, F1 Micro: 0.0912, F1 Macro: 0.0215, AUC: 0.5258, MSE: 0.090287
Epoch: 038, Loss: 2.2952, Train Acc: 0.1250, Test Acc: 0.1881, F1 Micro: 0.1881, F1 Macro: 0.0553, AUC: 0.5393, MSE: 0.090005
